P,PID,ID,Author,Title,Vol,Contents
1,1018096,5,塚本哲三等編,有朋堂文庫,0,古今和歌集・後撰和歌集
1,1223285,5,塚本哲三等編,有朋堂文庫,0,太平記-1
1,1223293,5,塚本哲三等編,有朋堂文庫,0,太平記-2
1,1018122,5,塚本哲三等編,有朋堂文庫,0,山家和歌集
1,1018110,5,塚本哲三等編,有朋堂文庫,0,新古今和歌集・新葉和歌集
1,964449,5,塚本哲三等編,有朋堂文庫,0,保元物語・平治物語・鎌倉北條九代記
1,1085953,5,塚本哲三等編,有朋堂文庫,0,源氏物語
1,970181,5,塚本哲三等編,有朋堂文庫,0,通俗三国志-1
1,970182,5,塚本哲三等編,有朋堂文庫,0,通俗三国志-2
1,1018102,5,塚本哲三等編,有朋堂文庫,0,金葉和歌集
1,1018127,5,塚本哲三等編,有朋堂文庫,0,絵本西遊記
1,1913519,5,塚本哲三等編,有朋堂文庫,1,詔勅集
1,1913523,5,塚本哲三等編,有朋堂文庫,2,源氏物語-1
1,1913542,5,塚本哲三等編,有朋堂文庫,4,源氏物語-3
1,1913547,5,塚本哲三等編,有朋堂文庫,5,源氏物語-4
1,1913562,5,塚本哲三等編,有朋堂文庫,7,徒然草
1,1913582,,5,塚本哲三等編,有朋堂文庫,9,古今和歌集・後撰和歌集_1018096_0001
1,1913591,5,塚本哲三等編,有朋堂文庫,10,金葉和歌集
1,1913616,5,塚本哲三等編,有朋堂文庫,13,四鏡
1,1913627,5,塚本哲三等編,有朋堂文庫,14,保元物語・平治物語・鎌倉北條九代記
1,1913524,5,塚本哲三等編,有朋堂文庫,20,義経記
1,1913536,5,塚本哲三等編,有朋堂文庫,21,神皇正統記
1,1913546,5,塚本哲三等編,有朋堂文庫,22,謡曲集-1
1,1913553,5,塚本哲三等編,有朋堂文庫,23,謡曲集-2
1,1913568,5,塚本哲三等編,有朋堂文庫,25,日蓮
1,1913580,5,塚本哲三等編,有朋堂文庫,26,益軒-1
1,1913587,5,塚本哲三等編,有朋堂文庫,27,益軒-2
1,1913614,5,塚本哲三等編,有朋堂文庫,31,常山紀談
1,1913625,5,塚本哲三等編,有朋堂文庫,32,随筆集-1
1,1913646,5,塚本哲三等編,有朋堂文庫,34,東西遊記
1,1913656,5,塚本哲三等編,有朋堂文庫,35,大田南畝集
1,1913672,5,塚本哲三等編,有朋堂文庫,36,上田秋成
1,1913685,5,塚本哲三等編,有朋堂文庫,37,西鶴文集-1
1,2216699,5,塚本哲三等編,有朋堂文庫,38,西鶴文集-2
1,2217470,5,塚本哲三等編,有朋堂文庫,43,里見八犬伝-1
1,2217730,5,塚本哲三等編,有朋堂文庫,44,里見八犬伝-2
1,2218017,5,塚本哲三等編,有朋堂文庫,45,里見八犬伝-3
1,2218296,5,塚本哲三等編,有朋堂文庫,46,里見八犬伝-4
1,2218562,5,塚本哲三等編,有朋堂文庫,47,里見八犬伝-5
1,2218940,5,塚本哲三等編,有朋堂文庫,49,弓張月
1,2218943,5,塚本哲三等編,有朋堂文庫,50,近世美少年-1
1,2219201,5,塚本哲三等編,有朋堂文庫,51,近世美少年-2
1,2219460,5,塚本哲三等編,有朋堂文庫,52,稲妻表紙
1,2219464,5,塚本哲三等編,有朋堂文庫,53,伊呂波文庫
1,991565,5,塚本哲三等編,有朋堂文庫,54,東海道中膝栗毛 
1,2219574,5,塚本哲三等編,有朋堂文庫,55,浮世風呂
1,2219753,5,塚本哲三等編,有朋堂文庫,56,漢軍談
1,1913532,5,塚本哲三等編,有朋堂文庫,60,西遊記
0,1913541,5,塚本哲三等編,有朋堂文庫,61,古事記
1,1913563,5,塚本哲三等編,有朋堂文庫,64,宇津保-1
1,1913578,5,塚本哲三等編,有朋堂文庫,65,宇津保-2
1,1913586,5,塚本哲三等編,有朋堂文庫,66,狭衣物語
1,1913592,5,塚本哲三等編,有朋堂文庫,67,宇治拾遺物語
1,1913598,5,塚本哲三等編,有朋堂文庫,68,古今著聞集
1,1913603,5,塚本哲三等編,有朋堂文庫,69,古代歌謡集
1,1913611,5,塚本哲三等編,有朋堂文庫,70,山家集
1,1913620,5,塚本哲三等編,有朋堂文庫,71,狂言記-1
1,1913630,5,塚本哲三等編,有朋堂文庫,72,狂言記-2
1,1913643,5,塚本哲三等編,有朋堂文庫,73,御伽草子
0,1913652,5,塚本哲三等編,有朋堂文庫,74,本居宣長
1,1913687,5,塚本哲三等編,有朋堂文庫,77,名家詩集
1,1913698,5,塚本哲三等編,有朋堂文庫,78,心学道話集
1,1913545,5,塚本哲三等編,有朋堂文庫,81,近世畸人伝
1,1913554,5,塚本哲三等編,有朋堂文庫,82,百人一首
1,1913599,5,塚本哲三等編,有朋堂文庫,87,名家俳句集
1,1913617,5,塚本哲三等編,有朋堂文庫,89,古今夷曲集
